Masterfile (1),StateCode (2),ORI CODE (7),Agency Name (23),Population (8),Group (2),Division (1),Month,Year (2),Offense Code (3),Occurences (3),Arrest Code A,Arrest Counter A,Arrest Code B,Arrest Counter B,Arrest Code C,Arrest Counter C,Arrest Code D,Arrest Counter D,Arrest Code E,Arrest Counter E,Arrest Code F,Arrest Counter F,Arrest Code G,Arrest Counter G,Arrest Code H,Arrest Counter H,Arrest Code I,Arrest Counter I,Arrest Code J,Arrest Counter J,Arrest Code K,Arrest Counter K,Arrest Code L,Arrest Counter L,Arrest Code M,Arrest Counter M,Arrest Code N,Arrest Counter N,Arrest Code O,Arrest Counter O,Arrest Code P,Arrest Counter P,Arrest Code Q,Arrest Counter Q,Arrest Code R,Arrest Counter R,Arrest Code S,Arrest Counter S,Masterfile (1),StateCode (2),ORI CODE (7),Group (2),Division (1),Month (2),Year (2),MSA (3),County (3),Sequence Num (5),Suburban (1),Core City (1),Covered by (1),,State (5),Filler (400)
3,29,NJNPD00,NEWARK                  ,278906,1C,2,1,12,16,10,13,1,15,1,33,1,34,1,35,2,36,1,37,1,41,1,45,2,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,NJNPD00,1C,2,0,12,605,7,42804,0,Y,0,,N J,NA
3,29,NJNPD00,NEWARK                  ,278906,1C,2,2,12,16,2,5,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,NJNPD00,1C,2,0,12,605,7,42804,0,Y,0,,N J,NA
3,29,NJNPD00,NEWARK                  ,278906,1C,2,4,12,16,9,7,1,10,1,14,1,15,2,19,1,20,1,39,1,45,5,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,NJNPD00,1C,2,0,12,605,7,42804,0,Y,0,,N J,NA
3,29,NJNPD00,NEWARK                  ,278906,1C,2,5,12,16,5,10,1,11,1,12,1,14,2,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,NJNPD00,1C,2,0,12,605,7,42804,0,Y,0,,N J,NA
3,29,NJNPD00,NEWARK                  ,278906,1C,2,6,12,16,8,29,1,32,2,33,1,37,2,39,1,40,1,45,5,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,NJNPD00,1C,2,0,12,605,7,42804,0,Y,0,,N J,NA
3,29,NJNPD00,NEWARK                  ,278906,1C,2,7,12,16,18,7,1,9,1,14,1,15,2,17,2,18,2,19,6,20,3,22,1,30,1,36,2,37,3,38,2,39,2,40,1,41,1,45,7,46,24,0,0,3,29,NJNPD00,1C,2,0,12,605,7,42804,0,Y,0,,N J,NA
3,29,NJNPD00,NEWARK                  ,278906,1C,2,8,12,16,7,5,1,15,1,18,1,27,1,45,2,49,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,NJNPD00,1C,2,0,12,605,7,42804,0,Y,0,,N J,NA
3,29,NJNPD00,NEWARK                  ,278906,1C,2,9,12,16,12,5,1,6,1,14,1,16,1,30,1,35,1,36,1,39,2,40,1,45,2,46,6,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,NJNPD00,1C,2,0,12,605,7,42804,0,Y,0,,N J,NA
3,29,NJNPD00,NEWARK                  ,278906,1C,2,10,12,16,2,15,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,NJNPD00,1C,2,0,12,605,7,42804,0,Y,0,,N J,NA
3,29,NJNPD00,NEWARK                  ,278906,1C,2,11,12,16,16,10,1,11,2,12,2,13,1,14,1,15,2,34,2,35,1,36,2,37,4,38,6,39,4,40,5,41,2,45,13,46,22,0,0,0,0,0,0,3,29,NJNPD00,1C,2,0,12,605,7,42804,0,Y,0,,N J,NA
